application,charmer
cplane-neutron-ovs-controller-with-ogr-node-oracle12c-single,cplane-team
cqlsh,cassandra-charmers
create-custom-data-flows,tengu-team
datadog-agent,omnivector
defaultgw,csd-garr
designate,gnuoy
designate,james-page
designate,openstack-charmers
designate,openstack-charmers-next
designate,xavpaice
designate-bind,1chb1n
designate-bind,gnuoy
designate-bind,openstack-charmers
designate-bind,openstack-charmers-next
designate-neutron-dns,thedac
discourse,deej
discourse,discourse-charmers
django,deej
docker-registry,containers
docker-registry,yellow
drill-hadoop,spiculecharms
drill-hbase,spiculecharms
dsnviewer,rharding
duplicati,chris.sanders
easyrsa,containers
edwood,frankban
egk-stack,kwmonroe
elasticsearch,elasticsearch-charmers
elasticsearch,jamesbeedy
elasticsearch,mthaddon
elasticsearch,omnivector
elasticsearch,tengu-team
elk,omnivector
elk-stack,elasticsearch-charmers
etcd,containers
etcd,cynerva
etcd,gnuoy
etcd,kos.tsakalozos
etcd,ryeterrell
file-server,chris.sanders
filebeat,canonical-bootstack
filebeat,containers
filebeat,filebeat-charmers
flannel,containers
flannel,cynerva
flannel,knobby
flannel,ryeterrell
flask-test,jamesbeedy
flexran-rtc,navid-nikaein
fuse-nfs-client,chris.macnaughton
ganglia,chris.macnaughton
ganglia,james-page
ganglia-node,chris.macnaughton
ganglia-node,james-page
gcp,containers
gcp,johnsca
gcp-integrator,containers
gitea,chris.macnaughton
glance,gnuoy
glance,james-page
glance,openstack-charmers
glance,openstack-charmers-next
glance,thedac
glance-simplestreams-sync,1chb1n
glance-simplestreams-sync,openstack-charmers
glance-simplestreams-sync,openstack-charmers-next
glance-simplestreams-sync-next,freyes
glance-sync-master,canonical-bootstack
glance-sync-slave,canonical-bootstack
gnocchi,csd-garr
gnocchi,james-page
gnocchi,openstack-charmers
gnocchi,openstack-charmers-next
gnocchi,thedac
gnocchi,xavpaice
gnocchi-sf00182054,xavpaice
grafana,chris.sanders
grafana,mthaddon
grafana,prometheus-charmers
grafana,xavpaice
graylog,graylog-charmers
graylog,kwmonroe
graylog,peter-sabaini
hacluster,gnuoy
hacluster,james-page
hacluster,openstack-charmers
hacluster,openstack-charmers-next
hadoop-client,bigdata-charmers
hadoop-hbase,bigdata-charmers
hadoop-kafka,bigdata-charmers
hadoop-namenode,bigdata-charmers
hadoop-plugin,bigdata-charmers
hadoop-processing,bigdata-charmers
hadoop-resourcemanager,bigdata-charmers
hadoop-slave,bigdata-charmers
hadoop-slave,jamesbeedy
hadoop-spark,bigdata-charmers
hadoop-spark-jupyter-conda,omnivector
haproxy,chris.macnaughton
haproxy,chris.sanders
haproxy,haproxy-team
haproxy,xavpaice
hbase,bigdata-charmers
heat,gnuoy
heat,james-page
heat,openstack-charmers
heat,openstack-charmers-next
heat,xavpaice
hive,bigdata-charmers
hive,jamesbeedy
hue,spiculecharms
hyperscale-controller,vtas-hyperscale-ci
index-paratus,fnordahl
influxdb,hloeung
influxdb,influxdb-charmers
jenkins,sgiller
juju-controller,canonical-bootstack
juju-controller,xavpaice
juju-introspection-proxy,juju-introspection-proxy-charmers
juju-lxd,canonical-bootstack
juju-storage,juju-gui
jujushell,juju-gui
jujushell,rharding
jupyter-notebook,omnivector
kafka,bigdata-charmers
kafka,cmars
kapacitor,tengu-team
keepalived,boucherv29
keepalived,containers
keepalived,dmitriis
keystone,csd-garr
keystone,gnuoy
keystone,james-page
keystone,openstack-charmers
keystone,openstack-charmers-next
keystone-ico,mskalka
keystone-ldap,openstack-charmers
keystone-ldap,openstack-charmers-next
keystone-saml-mellon,dmitriis
kibana,alai
kibana,elasticsearch-charmers
kibana,jamesbeedy
kibana,omnivector
kibana-elasticsearch,omnivector
kibanaspirent,carpalex
kubeapi-load-balancer,containers
kubeapi-load-balancer,cynerva
kubeapi-load-balancer,ryeterrell
kubernetes-calico,containers
kubernetes-calico,cynerva
kubernetes-core,containers
kubernetes-core,ykato-aims
kubernetes-e2e,containers
kubernetes-e2e,kos.tsakalozos
kubernetes-e2e,ryeterrell
kubernetes-keystone,csd-garr
kubernetes-master,containers
kubernetes-master,cynerva
kubernetes-master,johnsca
kubernetes-master,knobby
kubernetes-master,kos.tsakalozos
kubernetes-master,pguimaraes
kubernetes-master,ryeterrell
kubernetes-master-o7k,dmitriis
kubernetes-worker,containers
kubernetes-worker,cynerva
kubernetes-worker,johnsca
kubernetes-worker,knobby
kubernetes-worker,kos.tsakalozos
kubernetes-worker,pguimaraes
kubernetes-worker,ryeterrell
kubernetes-worker-o7k,dmitriis
landscape,alai
landscape-client,landscape-charmers
landscape-dense,landscape
landscape-dense-maas,landscape
landscape-scalable,landscape
landscape-server,alai
landscape-server,canonical-bootstack
landscape-server,landscape-charmers
ldap-test-fixture,openstack-charmers
ll-mec,navid-nikaein
lldpd,ivoks
logstash,elasticsearch-charmers
logstash,omnivector
luigi-server,omnivector
lxd,openstack-charmers
lxd,openstack-charmers-next
lxd-cluster,mskalka
lxd-profile,juju-qa
lxd-profile-fail,juju-qa
lxd-profile-subordinate,juju-qa
maas,omnivector
magpie,admcleod
mahout,bigdata-charmers
mailman3-core,hloeung
mailman3-core,mailman3-charmers
mailman3-web,hloeung
mailman3-web,mailman3-charmers
manila,openstack-charmers
manila,openstack-charmers-next
manila-generic,openstack-charmers
manila-generic,openstack-charmers-next
mattermost,cassiocassio
mattermost,tengu-team
memcached,memcached-team
mongodb,cassiocassio
mongodb,mariosplivalo
mongodb,mongodb-charmers
moodle,csd-garr
mysql,charmers
mysql,mysql-charmers
mysql,rharding
nagios,nagios-charmers
neutron-api,gnuoy
neutron-api,james-page
neutron-api,openstack-charmers
neutron-api,openstack-charmers-next
neutron-api,thedac
neutron-api-contrail,sdn-charmers
neutron-api-cplane,cplane-team
neutron-api-odl,ae40515
neutron-api-odl,openstack-charmers
neutron-api-odl,openstack-charmers-next
neutron-api-subordinate-shim,petevg
neutron-arista,mskalka
neutron-contrail,sdn-charmers
neutron-dynamic-routing,openstack-charmers
neutron-dynamic-routing,openstack-charmers-next
neutron-dynamic-routing,thedac
neutron-gateway,gnuoy
neutron-gateway,james-page
neutron-gateway,openstack-charmers
neutron-gateway,openstack-charmers-next
neutron-gateway,thedac
neutron-gateway-bug1773353,james-page
neutron-openvswitch,james-page
neutron-openvswitch,openstack-charmers
neutron-openvswitch,openstack-charmers-next
neutron-openvswitch-bug1773353,james-page
neutron-openvswitch-cplane,cplane-team
nfs,knobby
nfs,nfs-charmers
nfs-server,kos.tsakalozos
no-ubuntu-user,jameinel
noop-centos,asbalderson
nova-cell-controller,gnuoy
nova-cloud-controller,gnuoy
nova-cloud-controller,james-page
nova-cloud-controller,openstack-charmers
nova-cloud-controller,openstack-charmers-next
nova-compute,1chb1n
nova-compute,gnuoy
nova-compute,james-page
nova-compute,mskalka
nova-compute,openstack-charmers
nova-compute,openstack-charmers-next
nova-compute-proxy,openstack-charmers
nova-compute-proxy,openstack-charmers-next
nrpe,canonical-bootstack
nrpe,nrpe-charmers
nrpe,peter-sabaini
ntp,ntp-team
ntp,paulgear
ntpmaster,ntp-team
oai-hss,navid-nikaein
odl-controller,openstack-charmers
odl-controller,openstack-charmers-next
ogr-compute-cplane,cplane-team
oozie,spiculecharms
open-foam,omnivector
openldap,dmitriis
openstack-base,openstack-charmers
openstack-base-bionic-queens,openstack-charmers-next
openstack-base-spaces,openstack-charmers-next
openstack-base-xenial-mitaka,openstack-charmers-next
openstack-base-xenial-newton,openstack-charmers-next
openstack-base-xenial-ocata,openstack-charmers-next
openstack-base-xenial-pike,openstack-charmers-next
openstack-base-xenial-queens,openstack-charmers-next
openstack-dashboard,afreiberger
openstack-dashboard,chris.sanders
openstack-dashboard,gnuoy
openstack-dashboard,james-page
openstack-dashboard,openstack-charmers
openstack-dashboard,openstack-charmers-next
openstack-integrator,containers
openstack-integrator,dmitriis
openstack-integrator,johnsca
openstack-integrator-test,pguimaraes
openstack-kpi-scripts,james-page
openstack-lxd,openstack-charmers
openstack-refstack-xenial-ocata,openstack-charmers-next
openstack-refstack-xenial-ocata-ppc64el-alt,openstack-charmers-next
openstack-refstack-xenial-pike,openstack-charmers-next
openstack-refstack-xenial-pike-ppc64el-alt,openstack-charmers-next
openstack-service-checks,canonical-bootstack
openstack-service-checks,paulgear
openstack-service-checks,pjdc
openstack-service-checks,xavpaice
openstack-telemetry,openstack-charmers
openstack-telemetry-bionic-queens,openstack-charmers-next
openstack-telemetry-xenial-newton,openstack-charmers-next
openstack-telemetry-xenial-ocata,openstack-charmers-next
openstack-telemetry-xenial-pike,openstack-charmers-next
openstack-telemetry-xenial-queens,openstack-charmers-next
openvswitch-odl,openstack-charmers
openvswitch-odl,openstack-charmers-next
oracle,cplane-team
oracle-12c,cplane-team
owncloud,omnivector
panko,dmitriis
percona-cluster,gnuoy
percona-cluster,james-page
percona-cluster,mariosplivalo
percona-cluster,openstack-charmers
percona-cluster,openstack-charmers-next
percona-cluster,thedac
pgbouncer,postgresql-charmers
pig,bigdata-charmers
plex,chris.sanders
policy-routing,canonical-bootstack
postgresql,postgresql-charmers
postgresql-client,postgresql-charmers
prometheus,prometheus-charmers
prometheus-alertmanager,prometheus-charmers
prometheus-blackbox-exporter,prometheus-charmers
prometheus-ceph-exporter,chris.sanders
prometheus-ceph-exporter,narindergupta
prometheus-ceph-exporter,pjdc
prometheus-ceph-exporter,prometheus-charmers
prometheus-ceph-exporter,xavpaice
prometheus-grok-exporter,prometheus-charmers
prometheus-libvirt-exporter,prometheus-charmers
prometheus-openstack-exporter,prometheus-charmers
prometheus-pushgateway,prometheus-charmers
prometheus-snmp-exporter,prometheus-charmers
prometheus2,prometheus-charmers
quagga,openstack-charmers-next
rabbitmq-server,gnuoy
rabbitmq-server,james-page
rabbitmq-server,openstack-charmers
rabbitmq-server,openstack-charmers-next
rabbitmq-server,thedac
realtime-syslog-analytics,bigdata-charmers
redis,axino
redis,omnivector
redis,redis-charmers
reverseproxy,chris.sanders
rpfilter,nuvolasns
rsyslog-forwarder-ha,pguimaraes
sabnzbd,chris.sanders
saiku-basic-sql,spiculecharms
saiku-drill,spiculecharms
saiku-drill-hadoop,spiculecharms
saiku-enterprise,spiculecharms
salt-master,chris.sanders
salt-minion,chris.sanders
scalebot-jenkins,ce-hyperscale
senlin,1chb1n
senlin,gnuoy
sentry,axino
sentry,omnivector
sentry,sentry-charmers
sentry,tcuthbert
sentry-all-in-one,omnivector
sentry-decoupled,omnivector
serial-vault-bundle,canonical-solutions
serial-vault-selfhosted,canonical-solutions
sftp-server,chris.sanders
slurm-controller,omnivector
slurm-controller,slurm-charmers
slurm-controller-v2,dmitriis
slurm-hpc-min,omnivector
slurm-node,omnivector
slurm-node-v2,dmitriis
slurm-openfoam,omnivector
snmpd,kj-kingj
sojobo-api,tengu-team
sonarr,chris.sanders
spark,bigdata-charmers
spark-processing,bigdata-charmers
squid-reverseproxy,squid-reverseproxy-charmers
ssl-termination-fqdn,tengu-team
ssl-termination-proxy,tengu-team
ssl-termination-proxy-example,tengu-team
storpool-block,openstack-dev-s
storpool-candleholder,openstack-dev-s
swift-proxy,gnuoy
swift-proxy,james-page
swift-proxy,openstack-charmers
swift-proxy,openstack-charmers-next
swift-storage,gnuoy
swift-storage,james-page
swift-storage,openstack-charmers
swift-storage,openstack-charmers-next
swift-storage,thedac
sysconfig,canonical-bootstack
sysctl,chris.macnaughton
telegraf,axino
telegraf,telegraf-charmers
telegraf,tengu-team
tempest,openstack-charmers
tempest,openstack-charmers-next
test,cynerva
test-perm,rogpeppe
test-vault-kv,james-page
thelounge,omnivector
thingworx-foundation-server,chris.sanders
topbeat,containers
tor-bridge,cmars
tor-hidden,cmars
tor-relay,cmars
trilio-data-mover,james-page
trilio-data-mover-api,james-page
trilio-horizon-plugin,james-page
twister,carpalex
ubuntu,canonical-sysadmins
ubuntu,marcoceppi
ubuntu,rogpeppe
ubuntu-devenv,kwmonroe
ubuntu-lite,jameinel
ubuntu-series-upgrade,ecjones
unattended,paulgear
uosci-dashboard,chris.macnaughton
vanilla,jamesbeedy
vault,gnuoy
vault,james-page
vault,mthaddon
vault,openstack-charmers
vault,openstack-charmers-next
vault,thedac
vault,vault-charmers
vault-auto-unlock,james-page
virtual-accelerator-compute,6wind
virtual-accelerator-network,6wind
vnflcv,carpalex
vsphere-integrator,containers
weebl,oil-charms
wireguard,chris.sanders
zeppelin,bigdata-charmers
zookeeper,bigdata-charmers
